Env	DistB73	SS	NSS	TS	INBRED	DTT_Inbred	PltYield_Inbred	TSLLEN_Inbred	TSLBCHCNT_Inbred	TSLANG_Inbred	PLTHT_Inbred	UPLFANG_Inbred	LFWDT_Inbred	LFLEN_Inbred	RPR_Inbred	STLKWDT_Inbred	10KWt_Inbred	CobDia_Inbred	KnlHgt_Inbred	EarLength_Inbred	CobWt_Inbred	TotKnlWt_Inbred	DTT_B73	PltYield_B73	TSLLEN_B73	TSLBCHCNT_B73	TSLANG_B73	PLTHT_B73	UPLFANG_B73	LFWDT_B73	LFLEN_B73	RPR_B73	STLKWDT_B73	10KWt_B73	CobDia_B73	KnlHgt_B73	EarLength_B73	CobWt_B73	TotKnlWt_B73	DTT_Hyb	PltYield_Hyb	TSLLEN_Hyb	TSLBCHCNT_Hyb	TSLANG_Hyb	PLTHT_Hyb	UPLFANG_Hyb	LFWDT_Hyb	LFLEN_Hyb	RPR_Hyb	STLKWDT_Hyb	10KWt_Hyb	CobDia_Hyb	KnlHgt_Hyb	EarLength_Hyb	CobWt_Hyb	TotKnlWt_Hyb	DTT_bph	PltYield_bph	TSLLEN_bph	TSLBCHCNT_bph	TSLANG_bph	PLTHT_bph	UPLFANG_bph	LFWDT_bph	LFLEN_bph	RPR_bph	STLKWDT_bph	10KWt_bph	CobDia_bph	KnlHgt_bph	EarLength_bph	CobWt_bph	TotKnlWt_bph
02F	1.39759392	0.014	0.972	0.014	33-16	55	.	339.6666667	16	43.33333333	133.3333333	70	99.66666667	694	8.5	17	2.1	14.77666667	10.79666667	70.22333333	4.166666667	14.56666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	356.6666667	9.333333333	50	140	67.5	95.66666667	794.6666667	10.45	20	3.28	27.786	22.936	122.272	20.44	124.44	4	.	56.08333335	5	19.58333334	8.33333335	5	5.583333335	30.25	0.35	0.75	0.241666667	5.408333333	2.122499998	22.83166666	5.866666667	24.14166667
02F	1.73649679	0.003	0.993	0.004	38-11	64	.	300	8.8	48	135	52	78	830	10.3	14	2.36	24.328	12.838	109.86	9.9	47.9	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	378	11	60	160	50	100	921	8.4	17	3.66	32.638	21.434	148.05	27.12	133.32	0.5	.	36.25	1.4	17.25	7.5	14	5.25	37.75	0.55	0.75	0.111666667	0.632666668	1.101833333	3.013333325	3	7.475
02F	1.58696506	0.071	0.917	0.012	4226	54	.	293	18.66666667	56.66666667	130	38.33333333	97	706.3333333	8.266666667	13.5	.	18.63666667	6.48	94.67666667	6.433333333	1.466666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	52	.	370.5	13.5	47.5	175	51.25	108.5	869.25	8.1	18.33333333	3.08	27.474	21.114	133.142	26.52	124.02	4.5	.	32.75	6.333333335	12.91666667	10	20.83333334	4.25	24.08333335	0.466666667	1	.	3.478333333	4.280833333	10.60499999	4.733333334	30.69166667
02F	1.84957904	0.035	0.854	0.111	4722	66	.	333	8	55	126.6666667	52.5	95.33333333	749.3333333	.	18.5	1.9	22.73	10.99	127.8133333	18.3	45.46666667	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	389.5	11	45	150	57.5	106	902	9.6	17	2.92	26.918	19.568	161.562	27.98	147.1	1.5	.	52.75	1	13.75	11.66666665	13.75	3.416666665	2.58333335	.	1.5	0.341666667	1.431666668	2.025833333	5.963333325	1.2	8.691666665
02F	1.28996325	0.189	0.785	0.026	796	60	.	340	8.333333333	56.66666667	98.33333333	21.66666667	88	704.3333333	10	16	3.2	23.76666667	18.60333333	84.31	11.23333333	58.13333333	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	54	.	.	.	.	118.3333333	51.66666667	96.33333333	761.6666667	10.63333333	16	3.8	26.912	23.82	122.26	20.74	124.68	1.5	.	.	.	.	25.83333334	29.16666667	0.25	25.08333335	0.4	0.25	0.308333333	0.913333332	1.780833333	15.78833333	2.333333335	2.358333335
02F	1.59826461	0	0	0	81-1	68	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	57	.	383	12.5	42.5	162.5	65	101	1000.5	9.2	17	3.5	29.106	20.81	153.91	28.16	117.7	2.5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.10424611	0.762	0.017	0.221	A214N	58	.	286.8	4	52	99	66	74.2	619.2	10.6	12.33333333	2.74	19.632	12.736	132.328	9	40.5	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	56	.	335.75	5.25	55	135	60	90.5	735.75	12.275	16.5	3.04	24.956	21.302	146.846	17.66	124.06	2.5	.	29.65	1	15.25	25.5	7	7.15	67.65	0.7	1.583333335	0.078333333	2.980666668	1.152833333	8.220666675	3.45	11.175
02F	1.44411393	0.035	0.963	0.002	A239	54	.	255.2	4.6	39	90	52	85.4	646.2	8.72	14.33333333	2.74	23.382	14.022	83.948	8.24	36.22	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
02F	1.59826461	0.019	0.122	0.859	A272	69	.	213	7	65	.	.	.	593	.	.	2.2	14.89	5.99	89.86	4.5	4.3	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	51	.	331.5	11	52.5	135	62.5	91.5	836	8.95	15.5	3.48	27.052	21.034	156.622	21.12	132.46	3	.	7.25	0.5	8.75	.	.	.	80.75	.	.	0.191666667	5.351666668	4.525833333	13.01333333	5.7	29.275
02F	1.92368701	0.005	0.531	0.464	A441-5	60	.	302	10	50	115	45	117	843	10.9	13	3.82	22.37	13.39	89.668	14.16	24.24	63	.	227.5	6	82.5	150	80	88.5	754.5	9.2	15.5	2.583333334	25.59333334	15.04166667	115.8866667	15.9	62.85	53	.	399	14	63.75	156.25	59	118	945	10.775	18	4.34	30.412	26.676	152.8	34.1	187.94	1.5	.	37.25	2	16.25	17.5	17.5	14.25	44.25	0.85	1.25	0.618333333	1.611666668	0.825833333	13.10933333	0.87	19.305
