#Chromo	Pos	Watterson	Pairwise	thetaSingleton	thetaH	thetaL
J02459.1	26	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	27	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	28	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	29	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	30	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	31	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	32	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	33	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	34	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	35	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	36	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	37	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	38	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	39	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	40	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	41	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	42	-11.199917	-10.747793	-25.286696	-10.747795	-10.747794
J02459.1	43	-9.359084	-8.906959	-48.670883	-8.906959	-8.906959
J02459.1	44	-14.943837	-14.491725	-25.979814	-14.491741	-14.491734
J02459.1	45	-14.943837	-14.491725	-25.979814	-14.491741	-14.491734
J02459.1	46	-14.943837	-14.491725	-25.979814	-14.491741	-14.491734
J02459.1	47	-14.943837	-14.491725	-25.979814	-14.491741	-14.491734
J02459.1	48	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	49	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	50	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	51	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	52	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	53	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	54	-18.453732	-18.001743	-26.672968	-18.001881	-18.001812
J02459.1	55	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	56	-3.414582	-2.962456	-24.543409	-2.962456	-2.962456
J02459.1	57	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	58	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	59	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	60	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	61	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	62	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	63	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	64	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	65	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	66	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	67	-3.414582	-2.962456	-24.543409	-2.962456	-2.962456
J02459.1	68	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	69	-21.926378	-21.475851	-27.366125	-21.477179	-21.476515
J02459.1	70	-28.453133	-28.216707	-28.752438	-28.376276	-28.293312
J02459.1	71	-13.566735	-13.114613	-26.497643	-13.114617	-13.114614
J02459.1	72	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	73	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	74	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	75	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	76	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	77	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	78	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	79	-30.223951	-30.529829	-29.445593	-31.538719	-30.912098
J02459.1	80	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	81	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	82	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	83	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	84	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	85	-16.983212	-16.531111	-27.181654	-16.531141	-16.531126
J02459.1	86	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	87	-16.983212	-16.531111	-27.181654	-16.531141	-16.531126
J02459.1	88	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	89	-16.983212	-16.531111	-27.181654	-16.531141	-16.531126
J02459.1	90	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	91	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	92	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	93	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	94	-31.103415	-31.606817	-30.138748	-33.518642	-32.162109
J02459.1	95	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	96	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	97	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	98	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	99	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	100	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	101	-31.836542	-32.379562	-30.831905	-34.493668	-32.958721
J02459.1	102	-32.550964	-33.103786	-31.525061	-35.263058	-33.687714
J02459.1	103	-32.550964	-33.103786	-31.525061	-35.263058	-33.687714
J02459.1	104	-32.550964	-33.103786	-31.525061	-35.263058	-33.687714
J02459.1	105	-27.163860	-26.748173	-29.233852	-26.773304	-26.760660
J02459.1	106	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	107	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	108	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	109	-27.163860	-26.748173	-29.233852	-26.773304	-26.760660
J02459.1	110	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	111	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	112	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	113	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	114	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	115	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	116	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	117	-27.163860	-26.748173	-29.233852	-26.773304	-26.760660
J02459.1	118	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	119	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	120	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	121	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	122	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	123	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	124	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	125	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	126	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	127	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	128	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	129	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	130	-33.244114	-33.812035	-32.218216	-35.989990	-34.397877
J02459.1	131	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	132	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	133	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	134	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	135	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	136	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	137	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	138	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	139	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	140	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	141	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	142	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	143	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	144	-30.003119	-29.875696	-29.917969	-30.135130	-29.997023
J02459.1	145	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	146	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	147	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	148	-33.970051	-34.512615	-32.911373	-36.699680	-35.099380
J02459.1	149	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	150	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	151	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	152	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	153	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	154	-32.267323	-32.781593	-31.286280	-34.763138	-33.345596
J02459.1	155	-16.130495	-15.678384	-27.078972	-15.678402	-15.678392
J02459.1	156	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	157	-inf	-44.209877	-97.426727	-44.209858	-44.209866
J02459.1	158	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	159	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	160	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	161	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	162	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	163	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	164	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	165	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	166	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	167	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	168	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	169	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	170	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	171	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	172	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	173	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	174	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	175	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	176	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	177	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	178	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	179	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	180	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	181	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	182	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	183	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	184	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	185	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	186	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	187	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	188	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	189	-32.267323	-32.781593	-31.286280	-34.763138	-33.345596
J02459.1	190	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	191	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	192	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	193	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	194	-32.267323	-32.781593	-31.286280	-34.763138	-33.345596
J02459.1	195	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	196	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	197	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	198	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	199	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	200	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	201	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	202	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	203	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	204	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	205	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	206	-32.267323	-32.781593	-31.286280	-34.763138	-33.345596
J02459.1	207	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	208	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	209	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	210	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	211	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	212	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	213	-32.267323	-32.781593	-31.286280	-34.763138	-33.345596
J02459.1	214	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	215	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	216	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	217	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	218	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	219	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	220	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	221	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	222	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	223	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	224	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	225	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	226	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	227	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	228	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	229	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	230	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	231	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	232	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	233	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	234	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	235	-31.454147	-31.835152	-30.602112	-33.090782	-32.277622
J02459.1	236	-34.641220	-35.209175	-33.604526	-37.400444	-35.796364
J02459.1	237	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	238	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
J02459.1	239	-35.378818	-35.903362	-34.297684	-38.095901	-36.490677
