seq	source	feature	start	end	score	strand	phase	att	geneid
Mt	ena	gene	477	638	.	-	.	ID=gene:HannXRQ_MTg0579061;biotype=protein_coding;description=hypothetical protein;gene_id=HannXRQ_MTg0579061;logic_name=ena	HannXRQ_MTg0579061
Mt	ena	gene	2052	5095	.	-	.	ID=gene:HannXRQ_MTg0579071;biotype=protein_coding;description=putative NADH:quinone oxidoreductase/Mrp antiporter%2C membrane subunit;gene_id=HannXRQ_MTg0579071;logic_name=ena	HannXRQ_MTg0579071
Mt	ena	gene	15284	16027	.	-	.	ID=gene:HannXRQ_MTg0579111;biotype=protein_coding;description=putative cytochrome c assembly protein%2C Cytochrome c-type biogenesis protein CcmC;gene_id=HannXRQ_MTg0579111;logic_name=ena	HannXRQ_MTg0579111
Mt	ena	gene	27923	28498	.	-	.	ID=gene:HannXRQ_MTg0579131;biotype=protein_coding;description=putative ATPase%2C F0 complex%2C B chain/subunit B/MI25;gene_id=HannXRQ_MTg0579131;logic_name=ena	HannXRQ_MTg0579131
Mt	ena	gene	28678	28950	.	-	.	ID=gene:HannXRQ_MTg0579141;biotype=protein_coding;description=putative NADH-ubiquinone oxidoreductase chain 4L/K;gene_id=HannXRQ_MTg0579141;logic_name=ena	HannXRQ_MTg0579141
Mt	ena	gene	35609	36388	.	+	.	ID=gene:HannXRQ_MTg0579151;biotype=protein_coding;description=hypothetical protein;gene_id=HannXRQ_MTg0579151;logic_name=ena	HannXRQ_MTg0579151
Mt	ena	gene	36772	37251	.	+	.	ID=gene:HannXRQ_MTg0579161;Name=YMF19;biotype=protein_coding;description=putative ATP synthase protein YMF19;gene_id=HannXRQ_MTg0579161;logic_name=ena	HannXRQ_MTg0579161;Name=YMF19
Mt	ena	gene	37821	38618	.	+	.	ID=gene:HannXRQ_MTg0579171;Name=COX3;biotype=protein_coding;description=putative cytochrome c oxidase subunit 3;gene_id=HannXRQ_MTg0579171;logic_name=ena	HannXRQ_MTg0579171;Name=COX3
Mt	ena	gene	42935	43498	.	-	.	ID=gene:HannXRQ_MTg0579191;biotype=protein_coding;description=putative ribosomal protein L5;gene_id=HannXRQ_MTg0579191;logic_name=ena	HannXRQ_MTg0579191
Mt	ena	gene	46160	49105	.	-	.	ID=gene:HannXRQ_MTg0579201;Name=NU4M;biotype=protein_coding;description=putative NADH-ubiquinone oxidoreductase chain 4;gene_id=HannXRQ_MTg0579201;logic_name=ena	HannXRQ_MTg0579201;Name=NU4M
