region	chr	midPos	Nsites
(96,595)(100,599)(100,600)	Mt	350	501	0.078331
(196,695)(200,699)(200,700)	Mt	450	501	0.075599
(296,795)(300,799)(300,800)	Mt	550	501	0.078998
(396,895)(400,899)(400,900)	Mt	650	501	0.075778
(496,995)(500,999)(500,1000)	Mt	750	501	0.077280
(596,1095)(600,1099)(600,1100)	Mt	850	501	0.072210
(696,1195)(700,1199)(700,1200)	Mt	950	501	0.068774
(796,1295)(800,1299)(800,1300)	Mt	1050	501	0.073730
(896,1395)(900,1399)(900,1400)	Mt	1150	501	0.067372
(996,1495)(1000,1499)(1000,1500)	Mt	1250	501	0.064532
(1096,1595)(1100,1599)(1100,1600)	Mt	1350	501	0.073258
(1196,1695)(1200,1699)(1200,1700)	Mt	1450	501	0.079780
(1296,1795)(1300,1799)(1300,1800)	Mt	1550	501	0.071019
(1396,1895)(1400,1899)(1400,1900)	Mt	1650	501	0.071118
(1496,1995)(1500,1999)(1500,2000)	Mt	1750	501	0.066576
(1596,2095)(1600,2099)(1600,2100)	Mt	1850	501	0.061486
(1696,2195)(1700,2199)(1700,2200)	Mt	1950	501	0.054959
(1796,2295)(1800,2299)(1800,2300)	Mt	2050	501	0.054259
(1896,2395)(1900,2399)(1900,2400)	Mt	2150	501	0.060305
(1996,2495)(2000,2499)(2000,2500)	Mt	2250	501	0.079607
(2096,2595)(2100,2599)(2100,2600)	Mt	2350	501	0.106644
(2196,2695)(2200,2699)(2200,2700)	Mt	2450	501	0.105667
(2296,2795)(2300,2799)(2300,2800)	Mt	2550	501	0.106052
(2396,2895)(2400,2899)(2400,2900)	Mt	2650	501	0.107836
(2496,2995)(2500,2999)(2500,3000)	Mt	2750	501	0.109539
(2596,3095)(2600,3099)(2600,3100)	Mt	2850	501	0.110289
(2696,3195)(2700,3199)(2700,3200)	Mt	2950	501	0.117477
(2796,3295)(2800,3299)(2800,3300)	Mt	3050	501	0.122682
(2896,3395)(2900,3399)(2900,3400)	Mt	3150	501	0.122936
(2996,3495)(3000,3499)(3000,3500)	Mt	3250	501	0.123356
(3096,3595)(3100,3599)(3100,3600)	Mt	3350	501	0.121507
(3196,3695)(3200,3699)(3200,3700)	Mt	3450	501	0.120676
(3296,3795)(3300,3799)(3300,3800)	Mt	3550	501	0.113266
(3396,3895)(3400,3899)(3400,3900)	Mt	3650	501	0.112052
(3496,3995)(3500,3999)(3500,4000)	Mt	3750	501	0.116364
(3596,4095)(3600,4099)(3600,4100)	Mt	3850	501	0.118173
(3696,4195)(3700,4199)(3700,4200)	Mt	3950	501	0.114832
(3796,4295)(3800,4299)(3800,4300)	Mt	4050	501	0.122063
(3896,4395)(3900,4399)(3900,4400)	Mt	4150	501	0.122694
(3996,4495)(4000,4499)(4000,4500)	Mt	4250	501	0.120323
(4096,4595)(4100,4599)(4100,4600)	Mt	4350	501	0.118931
(4196,4695)(4200,4699)(4200,4700)	Mt	4450	501	0.118567
(4296,4795)(4300,4799)(4300,4800)	Mt	4550	501	0.114363
(4396,4895)(4400,4899)(4400,4900)	Mt	4650	501	0.113398
(4496,4995)(4500,4999)(4500,5000)	Mt	4750	501	0.116257
(4596,5095)(4600,5099)(4600,5100)	Mt	4850	501	0.122005
(4696,5195)(4700,5199)(4700,5200)	Mt	4950	501	0.123790
(4796,5295)(4800,5299)(4800,5300)	Mt	5050	501	0.123296
(4896,5395)(4900,5399)(4900,5400)	Mt	5150	501	0.122176
(4996,5495)(5000,5499)(5000,5500)	Mt	5250	501	0.120468
(5096,5595)(5100,5599)(5100,5600)	Mt	5350	501	0.114254
(5196,5695)(5200,5699)(5200,5700)	Mt	5450	501	0.111517
(5296,5795)(5300,5799)(5300,5800)	Mt	5550	501	0.122674
(5396,5895)(5400,5899)(5400,5900)	Mt	5650	501	0.122742
(5496,5995)(5500,5999)(5500,6000)	Mt	5750	501	0.121942
(5596,6095)(5600,6099)(5600,6100)	Mt	5850	501	0.124559
(5696,6195)(5700,6199)(5700,6200)	Mt	5950	501	0.129299
(5796,6295)(5800,6299)(5800,6300)	Mt	6050	501	0.119014
