region	chr	midPos	Nsites
(98,597)(100,599)(100,600)	Mt	350	501	0.112028
(198,697)(200,699)(200,700)	Mt	450	501	0.107192
(298,797)(300,799)(300,800)	Mt	550	501	0.111578
(398,897)(400,899)(400,900)	Mt	650	501	0.112606
(498,997)(500,999)(500,1000)	Mt	750	501	0.118392
(598,1097)(600,1099)(600,1100)	Mt	850	501	0.114835
(698,1197)(700,1199)(700,1200)	Mt	950	501	0.110612
(798,1297)(800,1299)(800,1300)	Mt	1050	501	0.106566
(898,1397)(900,1399)(900,1400)	Mt	1150	501	0.111720
(998,1497)(1000,1499)(1000,1500)	Mt	1250	501	0.116236
(1098,1597)(1100,1599)(1100,1600)	Mt	1350	501	0.113389
(1198,1697)(1200,1699)(1200,1700)	Mt	1450	501	0.113279
(1298,1797)(1300,1799)(1300,1800)	Mt	1550	501	0.117636
(1398,1897)(1400,1899)(1400,1900)	Mt	1650	501	0.113901
(1498,1997)(1500,1999)(1500,2000)	Mt	1750	501	0.112452
(1598,2097)(1600,2099)(1600,2100)	Mt	1850	501	0.110403
(1698,2197)(1700,2199)(1700,2200)	Mt	1950	501	0.108419
(1798,2297)(1800,2299)(1800,2300)	Mt	2050	501	0.114031
(1898,2397)(1900,2399)(1900,2400)	Mt	2150	501	0.113217
(1998,2497)(2000,2499)(2000,2500)	Mt	2250	501	0.112334
(2098,2597)(2100,2599)(2100,2600)	Mt	2350	501	0.108771
(2198,2697)(2200,2699)(2200,2700)	Mt	2450	501	0.110879
(2298,2797)(2300,2799)(2300,2800)	Mt	2550	501	0.096988
(2398,2897)(2400,2899)(2400,2900)	Mt	2650	501	0.097321
(2498,2997)(2500,2999)(2500,3000)	Mt	2750	501	0.094073
(2598,3097)(2600,3099)(2600,3100)	Mt	2850	501	0.099072
(2698,3197)(2700,3199)(2700,3200)	Mt	2950	501	0.110958
(2798,3297)(2800,3299)(2800,3300)	Mt	3050	501	0.117101
(2898,3397)(2900,3399)(2900,3400)	Mt	3150	501	0.111752
(2998,3497)(3000,3499)(3000,3500)	Mt	3250	501	0.114507
(3098,3597)(3100,3599)(3100,3600)	Mt	3350	501	0.113768
(3198,3697)(3200,3699)(3200,3700)	Mt	3450	501	0.102475
(3298,3797)(3300,3799)(3300,3800)	Mt	3550	501	0.092057
(3398,3897)(3400,3899)(3400,3900)	Mt	3650	501	0.103225
(3498,3997)(3500,3999)(3500,4000)	Mt	3750	501	0.101222
(3598,4097)(3600,4099)(3600,4100)	Mt	3850	501	0.109278
(3698,4197)(3700,4199)(3700,4200)	Mt	3950	501	0.112671
(3798,4297)(3800,4299)(3800,4300)	Mt	4050	501	0.118938
(3898,4397)(3900,4399)(3900,4400)	Mt	4150	501	0.108537
(3998,4497)(4000,4499)(4000,4500)	Mt	4250	501	0.108139
(4098,4597)(4100,4599)(4100,4600)	Mt	4350	501	0.106904
(4198,4697)(4200,4699)(4200,4700)	Mt	4450	501	0.106242
(4298,4797)(4300,4799)(4300,4800)	Mt	4550	501	0.103574
(4398,4897)(4400,4899)(4400,4900)	Mt	4650	501	0.107735
(4498,4997)(4500,4999)(4500,5000)	Mt	4750	501	0.105356
(4598,5097)(4600,5099)(4600,5100)	Mt	4850	501	0.105319
(4698,5197)(4700,5199)(4700,5200)	Mt	4950	501	0.109849
(4798,5297)(4800,5299)(4800,5300)	Mt	5050	501	0.112594
(4898,5397)(4900,5399)(4900,5400)	Mt	5150	501	0.117698
(4998,5497)(5000,5499)(5000,5500)	Mt	5250	501	0.126364
(5098,5597)(5100,5599)(5100,5600)	Mt	5350	501	0.116644
(5198,5697)(5200,5699)(5200,5700)	Mt	5450	501	0.108458
(5298,5797)(5300,5799)(5300,5800)	Mt	5550	501	0.109348
(5398,5897)(5400,5899)(5400,5900)	Mt	5650	501	0.105481
(5498,5997)(5500,5999)(5500,6000)	Mt	5750	501	0.090003
(5598,6097)(5600,6099)(5600,6100)	Mt	5850	501	0.090979
(5698,6197)(5700,6199)(5700,6200)	Mt	5950	501	0.099264
(5798,6297)(5800,6299)(5800,6300)	Mt	6050	501	0.102678
(5898,6397)(5900,6399)(5900,6400)	Mt	6150	501	0.106046
(5998,6497)(6000,6499)(6000,6500)	Mt	6250	501	0.115185
(6098,6597)(6100,6599)(6100,6600)	Mt	6350	501	0.121535
(6198,6697)(6200,6699)(6200,6700)	Mt	6450	501	0.106810
(6298,6797)(6300,6799)(6300,6800)	Mt	6550	501	0.100288
(6398,6897)(6400,6899)(6400,6900)	Mt	6650	501	0.098154
(6498,6997)(6500,6999)(6500,7000)	Mt	6750	501	0.102609
(6598,7097)(6600,7099)(6600,7100)	Mt	6850	501	0.099544
(6698,7197)(6700,7199)(6700,7200)	Mt	6950	501	0.108020
(6798,7297)(6800,7299)(6800,7300)	Mt	7050	501	0.106484
(6898,7397)(6900,7399)(6900,7400)	Mt	7150	501	0.103196
(6998,7497)(7000,7499)(7000,7500)	Mt	7250	501	0.095343
(7098,7597)(7100,7599)(7100,7600)	Mt	7350	501	0.099828
(7198,7697)(7200,7699)(7200,7700)	Mt	7450	501	0.098077
(7298,7797)(7300,7799)(7300,7800)	Mt	7550	501	0.103330
(7398,7897)(7400,7899)(7400,7900)	Mt	7650	501	0.102833
(7498,7997)(7500,7999)(7500,8000)	Mt	7750	501	0.101098
(7598,8097)(7600,8099)(7600,8100)	Mt	7850	501	0.109903
(7698,8197)(7700,8199)(7700,8200)	Mt	7950	501	0.115107
(7798,8297)(7800,8299)(7800,8300)	Mt	8050	501	0.106656
(7898,8397)(7900,8399)(7900,8400)	Mt	8150	501	0.104035
(7998,8497)(8000,8499)(8000,8500)	Mt	8250	501	0.113656
(8098,8597)(8100,8599)(8100,8600)	Mt	8350	501	0.109729
(8198,8697)(8200,8699)(8200,8700)	Mt	8450	501	0.109392
(8298,8797)(8300,8799)(8300,8800)	Mt	8550	501	0.117034
(8398,8897)(8400,8899)(8400,8900)	Mt	8650	501	0.123404
(8498,8997)(8500,8999)(8500,9000)	Mt	8750	501	0.126577
(8598,9097)(8600,9099)(8600,9100)	Mt	8850	501	0.118096
(8698,9197)(8700,9199)(8700,9200)	Mt	8950	501	0.113804
(8798,9297)(8800,9299)(8800,9300)	Mt	9050	501	0.118072
(8898,9397)(8900,9399)(8900,9400)	Mt	9150	501	0.121690
(8998,9497)(9000,9499)(9000,9500)	Mt	9250	501	0.124521
(9098,9597)(9100,9599)(9100,9600)	Mt	9350	501	0.126465
(9198,9697)(9200,9699)(9200,9700)	Mt	9450	501	0.128263
(9298,9797)(9300,9799)(9300,9800)	Mt	9550	501	0.129605
(9398,9897)(9400,9899)(9400,9900)	Mt	9650	501	0.124655
(9498,9997)(9500,9999)(9500,10000)	Mt	9750	501	0.120757
(9598,10097)(9600,10099)(9600,10100)	Mt	9850	501	0.119081
(9698,10197)(9700,10199)(9700,10200)	Mt	9950	501	0.113020
(9798,10297)(9800,10299)(9800,10300)	Mt	10050	501	0.109385
(9898,10397)(9900,10399)(9900,10400)	Mt	10150	501	0.107222
(9998,10497)(10000,10499)(10000,10500)	Mt	10250	501	0.095304
(10098,10597)(10100,10599)(10100,10600)	Mt	10350	501	0.104524
(10198,10697)(10200,10699)(10200,10700)	Mt	10450	501	0.114315
(10298,10797)(10300,10799)(10300,10800)	Mt	10550	501	0.111526
(10398,10897)(10400,10899)(10400,10900)	Mt	10650	501	0.106008
(10498,10997)(10500,10999)(10500,11000)	Mt	10750	501	0.118817
(10598,11097)(10600,11099)(10600,11100)	Mt	10850	501	0.107700
(10698,11197)(10700,11199)(10700,11200)	Mt	10950	501	0.104780
(10798,11297)(10800,11299)(10800,11300)	Mt	11050	501	0.103904
(10898,11397)(10900,11399)(10900,11400)	Mt	11150	501	0.122385
(10998,11497)(11000,11499)(11000,11500)	Mt	11250	501	0.121035
(11098,11597)(11100,11599)(11100,11600)	Mt	11350	501	0.123972
(11198,11697)(11200,11699)(11200,11700)	Mt	11450	501	0.119002
(11298,11797)(11300,11799)(11300,11800)	Mt	11550	501	0.119530
(11398,11897)(11400,11899)(11400,11900)	Mt	11650	501	0.115481
(11498,11997)(11500,11999)(11500,12000)	Mt	11750	501	0.111538
(11598,12097)(11600,12099)(11600,12100)	Mt	11850	501	0.115682
(11698,12197)(11700,12199)(11700,12200)	Mt	11950	501	0.124521
(11798,12297)(11800,12299)(11800,12300)	Mt	12050	501	0.122342
(11898,12397)(11900,12399)(11900,12400)	Mt	12150	501	0.116800
(11998,12497)(12000,12499)(12000,12500)	Mt	12250	501	0.119885
(12098,12597)(12100,12599)(12100,12600)	Mt	12350	501	0.123317
(12198,12697)(12200,12699)(12200,12700)	Mt	12450	501	0.120571
(12298,12797)(12300,12799)(12300,12800)	Mt	12550	501	0.116217
(12398,12897)(12400,12899)(12400,12900)	Mt	12650	501	0.111310
(12498,12997)(12500,12999)(12500,13000)	Mt	12750	501	0.105350
(12598,13097)(12600,13099)(12600,13100)	Mt	12850	501	0.091499
(12698,13197)(12700,13199)(12700,13200)	Mt	12950	501	0.090152
(12798,13297)(12800,13299)(12800,13300)	Mt	13050	501	0.100104
(12898,13397)(12900,13399)(12900,13400)	Mt	13150	501	0.107897
(12998,13497)(13000,13499)(13000,13500)	Mt	13250	501	0.111116
(13098,13597)(13100,13599)(13100,13600)	Mt	13350	501	0.113314
(13198,13697)(13200,13699)(13200,13700)	Mt	13450	501	0.109358
(13298,13797)(13300,13799)(13300,13800)	Mt	13550	501	0.104885
(13398,13897)(13400,13899)(13400,13900)	Mt	13650	501	0.107800
(13498,13997)(13500,13999)(13500,14000)	Mt	13750	501	0.102045
(13598,14097)(13600,14099)(13600,14100)	Mt	13850	501	0.108532
(13698,14197)(13700,14199)(13700,14200)	Mt	13950	501	0.113840
(13798,14297)(13800,14299)(13800,14300)	Mt	14050	501	0.114168
(13898,14397)(13900,14399)(13900,14400)	Mt	14150	501	0.108862
(13998,14497)(14000,14499)(14000,14500)	Mt	14250	501	0.111671
(14098,14597)(14100,14599)(14100,14600)	Mt	14350	501	0.103863
(14198,14697)(14200,14699)(14200,14700)	Mt	14450	501	0.107883
(14298,14797)(14300,14799)(14300,14800)	Mt	14550	501	0.113130
(14398,14897)(14400,14899)(14400,14900)	Mt	14650	501	0.114578
(14498,14997)(14500,14999)(14500,15000)	Mt	14750	501	0.110036
(14598,15097)(14600,15099)(14600,15100)	Mt	14850	501	0.116496
(14698,15197)(14700,15199)(14700,15200)	Mt	14950	501	0.110043
(14798,15297)(14800,15299)(14800,15300)	Mt	15050	501	0.109515
(14898,15397)(14900,15399)(14900,15400)	Mt	15150	501	0.099478
(14998,15497)(15000,15499)(15000,15500)	Mt	15250	501	0.101552
(15098,15597)(15100,15599)(15100,15600)	Mt	15350	501	0.097186
(15198,15697)(15200,15699)(15200,15700)	Mt	15450	501	0.100309
(15298,15797)(15300,15799)(15300,15800)	Mt	15550	501	0.093501
(15398,15897)(15400,15899)(15400,15900)	Mt	15650	501	0.102585
(15498,15997)(15500,15999)(15500,16000)	Mt	15750	501	0.105558
(15598,16097)(15600,16099)(15600,16100)	Mt	15850	501	0.105908
(15698,16197)(15700,16199)(15700,16200)	Mt	15950	501	0.114111
(15798,16297)(15800,16299)(15800,16300)	Mt	16050	501	0.115868
(15898,16397)(15900,16399)(15900,16400)	Mt	16150	501	0.116327
(15998,16497)(16000,16499)(16000,16500)	Mt	16250	501	0.116080
(16098,16597)(16100,16599)(16100,16600)	Mt	16350	501	0.120120
(16198,16697)(16200,16699)(16200,16700)	Mt	16450	501	0.105145
(16298,16797)(16300,16799)(16300,16800)	Mt	16550	501	0.110151
(16398,16897)(16400,16899)(16400,16900)	Mt	16650	501	0.105715
(16498,16997)(16500,16999)(16500,17000)	Mt	16750	501	0.107172
(16598,17097)(16600,17099)(16600,17100)	Mt	16850	501	0.105286
(16698,17197)(16700,17199)(16700,17200)	Mt	16950	501	0.112920
(16798,17297)(16800,17299)(16800,17300)	Mt	17050	501	0.109324
(16898,17397)(16900,17399)(16900,17400)	Mt	17150	501	0.104126
(16998,17497)(17000,17499)(17000,17500)	Mt	17250	501	0.106563
(17098,17597)(17100,17599)(17100,17600)	Mt	17350	501	0.109057
(17198,17697)(17200,17699)(17200,17700)	Mt	17450	501	0.105975
(17298,17797)(17300,17799)(17300,17800)	Mt	17550	501	0.109402
(17398,17897)(17400,17899)(17400,17900)	Mt	17650	501	0.117791
(17498,17997)(17500,17999)(17500,18000)	Mt	17750	501	0.115390
(17598,18097)(17600,18099)(17600,18100)	Mt	17850	501	0.120324
(17698,18197)(17700,18199)(17700,18200)	Mt	17950	501	0.119093
(17798,18297)(17800,18299)(17800,18300)	Mt	18050	501	0.118009
(17898,18397)(17900,18399)(17900,18400)	Mt	18150	501	0.118387
(17998,18497)(18000,18499)(18000,18500)	Mt	18250	501	0.115392
(18098,18597)(18100,18599)(18100,18600)	Mt	18350	501	0.098814
(18198,18697)(18200,18699)(18200,18700)	Mt	18450	501	0.104203
(18298,18797)(18300,18799)(18300,18800)	Mt	18550	501	0.109114
(18398,18897)(18400,18899)(18400,18900)	Mt	18650	501	0.106000
(18498,18997)(18500,18999)(18500,19000)	Mt	18750	501	0.112051
(18598,19097)(18600,19099)(18600,19100)	Mt	18850	501	0.118479
(18698,19197)(18700,19199)(18700,19200)	Mt	18950	501	0.107339
(18798,19297)(18800,19299)(18800,19300)	Mt	19050	501	0.101521
(18898,19397)(18900,19399)(18900,19400)	Mt	19150	501	0.102405
(18998,19497)(19000,19499)(19000,19500)	Mt	19250	501	0.107164
(19098,19597)(19100,19599)(19100,19600)	Mt	19350	501	0.114567
(19198,19697)(19200,19699)(19200,19700)	Mt	19450	501	0.125566
(19298,19797)(19300,19799)(19300,19800)	Mt	19550	501	0.121713
(19398,19897)(19400,19899)(19400,19900)	Mt	19650	501	0.119320
(19498,19997)(19500,19999)(19500,20000)	Mt	19750	501	0.110039
(19598,20097)(19600,20099)(19600,20100)	Mt	19850	501	0.106863
(19698,20197)(19700,20199)(19700,20200)	Mt	19950	501	0.096680
(19798,20297)(19800,20299)(19800,20300)	Mt	20050	501	0.094447
(19898,20397)(19900,20399)(19900,20400)	Mt	20150	501	0.099835
(19998,20497)(20000,20499)(20000,20500)	Mt	20250	501	0.102050
(20098,20597)(20100,20599)(20100,20600)	Mt	20350	501	0.097421
(20198,20697)(20200,20699)(20200,20700)	Mt	20450	501	0.110321
(20298,20797)(20300,20799)(20300,20800)	Mt	20550	501	0.115373
(20398,20897)(20400,20899)(20400,20900)	Mt	20650	501	0.111843
(20498,20997)(20500,20999)(20500,21000)	Mt	20750	501	0.112676
(20598,21097)(20600,21099)(20600,21100)	Mt	20850	501	0.112047
(20698,21197)(20700,21199)(20700,21200)	Mt	20950	501	0.108627
(20798,21297)(20800,21299)(20800,21300)	Mt	21050	501	0.110702
(20898,21397)(20900,21399)(20900,21400)	Mt	21150	501	0.113663
(20998,21497)(21000,21499)(21000,21500)	Mt	21250	501	0.115209
(21098,21597)(21100,21599)(21100,21600)	Mt	21350	501	0.110096
(21198,21697)(21200,21699)(21200,21700)	Mt	21450	501	0.100697
(21298,21797)(21300,21799)(21300,21800)	Mt	21550	501	0.094753
(21398,21897)(21400,21899)(21400,21900)	Mt	21650	501	0.094201
(21498,21997)(21500,21999)(21500,22000)	Mt	21750	501	0.089122
(21598,22097)(21600,22099)(21600,22100)	Mt	21850	501	0.099982
(21698,22197)(21700,22199)(21700,22200)	Mt	21950	501	0.106254
(21798,22297)(21800,22299)(21800,22300)	Mt	22050	501	0.108146
(21898,22397)(21900,22399)(21900,22400)	Mt	22150	501	0.108232
(21998,22497)(22000,22499)(22000,22500)	Mt	22250	501	0.107669
(22098,22597)(22100,22599)(22100,22600)	Mt	22350	501	0.102537
(22198,22697)(22200,22699)(22200,22700)	Mt	22450	501	0.104221
(22298,22797)(22300,22799)(22300,22800)	Mt	22550	501	0.104502
(22398,22897)(22400,22899)(22400,22900)	Mt	22650	501	0.109064
(22498,22997)(22500,22999)(22500,23000)	Mt	22750	501	0.104982
(22598,23097)(22600,23099)(22600,23100)	Mt	22850	501	0.102516
(22698,23197)(22700,23199)(22700,23200)	Mt	22950	501	0.100849
(22798,23297)(22800,23299)(22800,23300)	Mt	23050	501	0.099640
(22898,23397)(22900,23399)(22900,23400)	Mt	23150	501	0.094792
(22998,23497)(23000,23499)(23000,23500)	Mt	23250	501	0.093567
(23098,23597)(23100,23599)(23100,23600)	Mt	23350	501	0.096612
